vvCountHistVlun,vvCountHistVlunPrevious,totalWriteIOsHistVlun,totalWriteIOsHistPortTargets,cpuLatestTotalMaxPct,cpuLatestTotalAvgPct,portTotalAvgIOSizeKB,ddsSizeUsedTiB,nodeCountOffline,nodeCountMissing,ddsSizeUsedTiBPrevious,portTotalBandwidthMBPS,totalsGt32msPct
12,12,4.2754292E7,4.4989432E7,11,6,77.00994701871986,5.39407958984375,0,0,5.39407958984375,31.91028214996267,0.03
12,12,0.0,0.0,11,6,0,5.39407958984375,0,0,5.39407958984375,0,0
12,12,7129200.0,7128408.0,9,6,103.971249704363,5.39407958984375,0,0,5.39407958984375,28.25938897183399,0.01
12,12,0.0,0.0,9,6,0,5.39407958984375,0,0,5.39407958984375,0,0
12,12,7641546.0,7642242.0,6,4,67.72046463129224,5.39407958984375,0,0,5.39407958984375,12.553965673863402,0.01
12,12,0.0,0.0,6,4,0,5.39407958984375,0,0,5.39407958984375,0,0
9,12,2.4252466E7,2.6056934E7,6,4,59.140222437122176,5.39407958984375,0,0,5.39407958984375,18.335136694454288,1.8
9,9,0.0,0.0,6,4,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,1.5718848E7,1.571871E7,1,0,45.15678156819483,5.39407958984375,0,0,5.39407958984375,12.974813374257579,0.003
9,9,0.0,0.0,1,0,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,1.1940702E7,1.1941284E7,8,5,46.91054112803368,5.39407958984375,0,0,5.39407958984375,11.315698493548055,0.01
9,9,0.0,0.0,8,5,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,5.9324388E7,5.9324656E7,10,6,68.2207882494912,5.39407958984375,0,0,5.39407958984375,36.852243870876094,0.005
9,9,0.0,0.0,10,6,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,1.2971384E7,1.2969126E7,5,3,51.18299490754879,5.39407958984375,0,0,5.39407958984375,13.718826100147243,0.01
9,9,0.0,0.0,5,3,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,3.4176592E7,3.4178584E7,12,10,108.18791543708625,5.39407958984375,0,0,5.39407958984375,60.502199237556304,0.25
9,9,0.0,0.0,12,10,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,1.4922648E7,1.4922656E7,8,5,105.7406421293326,5.39407958984375,0,0,5.39407958984375,39.68249347868005,0.03
9,9,0.0,0.0,8,5,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,1.6243816E7,1.6243984E7,8,5,78.02095957521772,5.39407958984375,0,0,5.39407958984375,23.56862704932488,0.03
9,9,0.0,0.0,8,5,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,1.7752306E7,1.7752388E7,10,6,79.10346773449642,5.39407958984375,0,0,5.39407958984375,24.95043605098874,0.03
9,9,0.0,0.0,10,6,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,0.0,0.0,10,6,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,1.9277578E7,1.9275998E7,1,1,50.81452577641303,5.39407958984375,0,0,5.39407958984375,16.266798982187947,0.01
9,9,0.0,0.0,1,1,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,1.7409672E7,1.7409908E7,10,6,52.54990221874712,5.39407958984375,0,0,5.39407958984375,14.800759822454145,0.01
9,9,0.0,0.0,10,6,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,3.0365462E7,3.0366432E7,2,1,54.06334354800237,5.39407958984375,0,0,5.39407958984375,20.83351888322347,0.01
9,9,0.0,0.0,2,1,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,1.1394828E7,1.139526E7,1,1,77.30948648189232,5.39407958984375,0,0,5.39407958984375,21.839574742860997,0.01
9,9,0.0,0.0,1,1,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,1.1645582E7,1.164514E7,11,6,118.90062797149206,5.39407958984375,0,0,5.39407958984375,55.05033565323863,0.01
9,9,0.0,0.0,11,6,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,1.1851146E7,1.1851412E7,0,0,51.903701126216006,5.39407958984375,0,0,5.39407958984375,10.9488861778272,0.01
9,9,0.0,0.0,0,0,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,1.1655202E7,1.1655384E7,10,5,60.481125342434176,5.39407958984375,0,0,5.39407958984375,13.281665225604836,0.01
9,9,0.0,0.0,10,5,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,1.2153566E7,1.2153556E7,0,0,59.540734320270516,5.39407958984375,0,0,5.39407958984375,11.60878004689967,0.01
9,9,0.0,0.0,0,0,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,1.2835208E7,1.2834642E7,10,5,60.349429987291124,5.39407958984375,0,0,5.39407958984375,12.823147902748284,0.01
9,9,0.0,0.0,10,5,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,1.8790478E7,1.8790704E7,4,2,60.440545293166245,5.39407958984375,0,0,5.39407958984375,15.343222477798426,0.01
9,9,0.0,0.0,4,2,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,1.3279814E7,1.3280104E7,7,6,124.11510347067377,5.39407958984375,0,0,5.39407958984375,66.46426126472302,0.01
9,9,0.0,0.0,7,6,0,5.39407958984375,0,0,5.39407958984375,0,0
9,9,1.0136174E7,1.0136198E7,10,5,55.68683101450636,5.39407958984375,0,0,5.39407958984375,10.29534577440735,0.005
9,9,0.0,0.0,10,5,0,5.39407958984375,0,0,5.39407958984375,0,0
12,9,1.1326046E7,1.1326128E7,2,1,61.606921569885465,5.39407958984375,0,0,5.39407958984375,12.20548894856202,0.01
12,12,0.0,0.0,2,1,0,5.39407958984375,0,0,5.39407958984375,0,0
12,12,1.3862858E7,1.3862802E7,6,3,64.3414129493565,5.39407958984375,0,0,5.39407958984375,19.00816466094691,0.004
12,12,0.0,0.0,6,3,0,5.39407958984375,0,0,5.39407958984375,0,0
12,12,1.4212666E7,1.4212194E7,11,6,61.337598244037146,5.39407958984375,0,0,5.39407958984375,12.890347734941265,0.004
12,12,0.0,0.0,11,6,0,5.39407958984375,0,0,5.39407958984375,0,0
12,12,1.82135773E9,1.1817336E7,13,9,55.384790745759936,5.39407958984375,0,0,5.39407958984375,12.910390722350476,0.08
12,12,0.0,0.0,13,9,0,5.39407958984375,0,0,5.39407958984375,0,0
12,12,1.6468618E7,1.6468872E7,2,1,71.76502133630568,5.39407958984375,0,0,5.39407958984375,26.27039126308318,0.01
12,12,0.0,0.0,2,1,0,5.39407958984375,0,0,5.39407958984375,0,0
12,12,1.2056194E7,1.2056156E7,9,6,118.79937728773463,5.39407958984375,0,0,5.39407958984375,55.21078004438695,0.01
12,12,0.0,0.0,9,6,0,5.39407958984375,0,0,5.39407958984375,0,0
12,12,1.1078746E7,1.1078602E7,2,1,89.82379171677405,5.39407958984375,0,0,5.39407958984375,24.26765327070499,0.01
12,12,0.0,0.0,2,1,0,5.39407958984375,0,0,5.39407958984375,0,0
