vvCountHistVlun,vvCountHistVlunPrevious,totalWriteIOsHistVlun,totalWriteIOsHistPortTargets,cpuLatestTotalMaxPct,cpuLatestTotalAvgPct,portTotalAvgIOSizeKB,ddsSizeUsedTiB,nodeCountOffline,nodeCountMissing,ddsSizeUsedTiBPrevious,portTotalBandwidthMBPS,totalsGt32msPct
42,42,1.6901822E7,1.6904988E7,4,3,34.68874404273877,0.8750244140625,0,0,0.8750244140625,33.19834606301278,0.51
42,42,1.3712096E7,1.3713412E7,9,6,31.727789001536408,0.8750244140625,0,0,0.8750244140625,26.415416712317246,0.40
54,42,1.2932066E7,1.292616E7,20,16,70.35801687177764,0.8750244140625,0,0,0.8750244140625,63.195354738530156,0.85
42,54,1.8352652E7,1.8359182E7,27,19,50.098624143604034,0.8750244140625,0,0,0.8750244140625,84.05637735851094,0.49
42,42,1.0330468E7,1.0328806E7,15,15,30.938878828449333,0.8750244140625,0,0,0.8750244140625,23.50790764907479,0.36
42,42,0.0,0.0,15,15,0,0.8750244140625,0,0,0.8750244140625,0,0
42,42,1.069688E7,1.069803E7,6,5,26.62273667537455,0.8750244140625,0,0,0.8750244140625,16.59409227484105,0.24
42,42,1.0327846E7,1.0323892E7,10,6,22.62818003578149,0.8750244140625,0,0,0.8750244140625,14.450180021071246,0.25
51,42,1.0527058E7,1.0521186E7,24,17,244.6922451038951,0.8750244140625,0,0,0.8750244140625,242.7350303356201,2.2
42,51,1.645772E7,1.6469116E7,24,18,69.23820311283383,0.8750244140625,0,0,0.8750244140625,112.8360760413863,6.4
42,42,1.2547514E7,1.2547172E7,2,2,17.959633181453817,0.8750244140625,0,0,0.8750244140625,21.53169063724184,0.31
42,42,0.0,0.0,2,2,0,0.8750244140625,0,0,0.8750244140625,0,0
42,42,1.0555616E7,1.0555272E7,1,1,25.153285502197438,0.8750244140625,0,0,0.8750244140625,23.876476286429686,0.30
42,42,9617348.0,9617736.0,2,2,26.544022942174998,0.8750244140625,0,0,0.8750244140625,14.298006843665448,0.22
42,42,1.067309E7,1.0673582E7,8,6,34.68014752850578,0.8750244140625,0,0,0.8750244140625,23.450861518618336,0.27
42,42,1.3348406E7,1.3348424E7,17,12,28.532860128605655,0.8750244140625,0,0,0.8750244140625,33.626310238594534,0.50
42,42,1.2247468E7,1.2243452E7,26,18,31.07521041138334,0.8750244140625,0,0,0.8750244140625,24.753933450059293,0.60
42,42,0.0,0.0,26,18,0,0.8750244140625,0,0,0.8750244140625,0,0
42,42,1.6354282E7,1.6352548E7,17,12,34.366329797472254,0.8750244140625,0,0,0.8750244140625,34.153605892383645,0.45
42,42,1.7214662E7,1.7217992E7,7,6,34.99905774150205,0.8750244140625,0,0,0.8750244140625,33.85923557182737,0.46
54,42,1.1932982E7,1.1934932E7,14,9,74.49910869421088,0.8750244140625,0,0,0.8750244140625,53.73025568861153,0.67
42,54,2.604897E7,2.6049362E7,5,4,46.935804746716414,0.8750244140625,0,0,0.8750244140625,87.27164198477776,0.35
42,42,1.475494E7,1.4751226E7,11,8,33.53211740530597,0.8750244140625,0,0,0.8750244140625,32.58720631528179,0.51
42,42,0.0,0.0,11,8,0,0.8750244140625,0,0,0.8750244140625,0,0
42,42,1.667794E7,1.6672354E7,18,13,36.04972138137235,0.8750244140625,0,0,0.8750244140625,35.29809448433954,0.50
42,42,1.512152E7,1.5129928E7,9,6,33.61412427466495,0.8750244140625,0,0,0.8750244140625,30.1959312180439,0.42
54,42,1.1680934E7,1.1672384E7,8,6,66.63401711334602,0.8750244140625,0,0,0.8750244140625,46.0537813259113,0.61
42,54,1.7000462E7,1.7002638E7,18,14,44.08332877470945,0.8750244140625,0,0,0.8750244140625,64.66997601237037,0.34
42,42,1.443821E7,1.443613E7,26,18,29.835013919873408,0.8750244140625,0,0,0.8750244140625,29.23457362832321,0.57
42,42,0.0,0.0,26,18,0,0.8750244140625,0,0,0.8750244140625,0,0
42,42,1.6912794E7,1.6916698E7,20,15,35.03536359035882,0.8750244140625,0,0,0.8750244140625,34.55539353474374,0.44
42,42,1.6034474E7,1.6037292E7,13,9,36.23079445365278,0.8750244140625,0,0,0.8750244140625,33.95220686620758,0.51
54,42,1.0960716E7,1.096113E7,4,4,69.14017495270997,0.8750244140625,0,0,0.8750244140625,44.291111093715905,0.64
42,54,1.7616916E7,1.761444E7,8,5,43.75135935228045,0.8750244140625,0,0,0.8750244140625,65.54628248636938,0.36
42,42,1.2455884E7,1.2455864E7,5,4,34.25840509773007,0.8750244140625,0,0,0.8750244140625,29.565920542838285,0.56
42,42,0.0,0.0,5,4,0,0.8750244140625,0,0,0.8750244140625,0,0
42,42,1.676765E7,1.676592E7,18,13,39.81362414305879,0.8750244140625,0,0,0.8750244140625,40.52911663424527,0.47
42,42,1.5278126E7,1.5283386E7,26,24,34.31098777527358,0.8750244140625,0,0,0.8750244140625,31.13120303493008,0.44
54,42,1.1216052E7,1.1216016E7,9,7,66.03023047891263,0.8750244140625,0,0,0.8750244140625,43.81505544678345,0.65
42,54,1.7153394E7,1.7149236E7,8,6,44.04440837019597,0.8750244140625,0,0,0.8750244140625,63.36525863394435,0.31
42,42,1.2371636E7,1.2370944E7,19,13,36.2898048944571,0.8750244140625,0,0,0.8750244140625,32.08597566492626,0.41
42,42,1.7147528E7,1.7150216E7,27,19,39.892053683044615,0.8750244140625,0,0,0.8750244140625,41.994979453711515,0.62
42,42,0.0,0.0,27,19,0,0.8750244140625,0,0,0.8750244140625,0,0
