vvCountHistVlun,vvCountHistVlunPrevious,totalWriteIOsHistVlun,totalWriteIOsHistPortTargets,cpuLatestTotalMaxPct,cpuLatestTotalAvgPct,portTotalAvgIOSizeKB,ddsSizeUsedTiB,nodeCountOffline,nodeCountMissing,ddsSizeUsedTiBPrevious,portTotalBandwidthMBPS,totalsGt32msPct
0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0
0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0
0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0
0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0
0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0
3,0,751942.0,871566.0,1,0,540.665974659965,0,0,0,0,9.660888273278061,68.6
3,3,0.0,0.0,0,0,0,0,0,0,0,0.0,0
3,3,0.0,0.0,0,0,0,0,0,0,0,0.0,0
3,3,0.0,0.0,0,0,0,0,0,0,0,0,0
3,3,3584.0,3512.0,1,0,11.834805471664593,0,0,0,0,0.006859580146350278,0.01
87,3,1064958.0,1061504.0,4,4,377.6596268734044,0,0,0,0,108.86881381495553,0.85
87,87,4.1285658E7,4.1285778E7,0,0,67.09271880462137,0,0,0,0,91.42156129046727,1.0
87,87,6.7537718E7,6.7526694E7,2,1,3.8007688953287397,0,0,0,0,8.011802312742233,0.000
87,87,0.0,0.0,2,1,0,0,0,0,0,0,0
87,87,1.7333118E7,1.7347376E7,0,0,9.861722206349006,0,0,0,0,5.908755468727235,0.000
159,87,5.7401904E7,5.7209952E7,4,4,67.08240392566125,0,0,0,0,129.05637243768302,0.03
231,159,6.1968354E7,6.212314E7,1,1,84.8315201472651,0,0,0,0,275.6058711873748,0.03
231,231,8.6490242E7,8.6415062E7,1,1,10.645041832734446,0,0,0,0,83.33342816961658,0.000
231,231,1.43322818E8,1.43329998E8,1,1,9.204977442520063,0,0,0,0,92.48929944532492,0.000
231,231,0.0,0.0,1,1,0,0,0,0,0,0,0
231,231,8.429733E7,8.4304378E7,1,1,4.378355881165737,0,0,0,0,29.832404979037282,0.000
231,231,8.8728618E7,8.8814966E7,1,1,4.027756917183132,0,0,0,0,28.371797857541686,0.000
