vvCountHistVlun,vvCountHistVlunPrevious,totalWriteIOsHistVlun,totalWriteIOsHistPortTargets,cpuLatestTotalMaxPct,cpuLatestTotalAvgPct,portTotalAvgIOSizeKB,ddsSizeUsedTiB,nodeCountOffline,nodeCountMissing,ddsSizeUsedTiBPrevious,portTotalBandwidthMBPS,totalsGt32msPct
72,72,6652352.0,6654810.0,4,3,16.91799872245889,0.4138671875,0,0,0.4138671875,5.213213200311653,0.001
72,72,8200674.0,8200412.0,2,2,18.90632777068824,0.4138671875,0,0,0.4138671875,9.573696557917673,0.001
72,72,6969776.0,6969614.0,7,4,18.944069812489094,0.4138671875,0,0,0.4138671875,6.068037203689969,0.000
72,72,5770426.0,5768624.0,3,2,13.066599498800496,0.4138671875,0,0,0.4138671875,2.673619631550891,0.001
72,72,5674076.0,5674522.0,6,4,13.295009815532715,0.4138671875,0,0,0.4138671875,2.5322396800103575,0.001
72,72,0.0,0.0,6,4,0,0.4138671875,0,0,0.4138671875,0,0
72,72,5709544.0,5707336.0,3,2,13.87995762468831,0.4138671875,0,0,0.4138671875,2.6953675813800166,0.002
72,72,5737636.0,5741046.0,6,4,12.121115092023235,0.4240234375,0,0,0.4138671875,2.29813090618743,0.001
72,72,5598862.0,5598532.0,2,1,10.707798827710759,0.4240234375,0,0,0.4240234375,1.9665451325309353,0.001
72,72,5663790.0,5651452.0,5,3,11.9784186695045,0.4240234375,0,0,0.4240234375,2.198685348744387,0.001
72,72,5726768.0,5739174.0,3,2,12.79273484086222,0.4240234375,0,0,0.4240234375,2.4656956641015926,0.001
72,72,0.0,0.0,3,2,0,0.4240234375,0,0,0.4240234375,0,0
72,72,5741596.0,5739758.0,6,4,13.126653150573587,0.4240234375,0,0,0.4240234375,2.5040256608028826,0.001
72,72,5933220.0,5935708.0,3,2,13.578252424159157,0.4240234375,0,0,0.4240234375,2.7136471895902936,0.001
72,72,6223856.0,6222868.0,7,4,13.76026249008662,0.4240234375,0,0,0.4240234375,3.3660701353143767,0.001
72,72,6442568.0,6442454.0,2,2,15.675447113814005,0.4240234375,0,0,0.4240234375,4.266432613621934,0.000
72,72,6853752.0,6853820.0,5,3,16.41016075233615,0.4240234375,0,0,0.4240234375,5.319968172861914,0.001
72,72,0.0,0.0,5,3,0,0.4240234375,0,0,0.4240234375,0,0
72,72,6739306.0,6732968.0,0,0,15.982521697912443,0.4240234375,0,0,0.4240234375,4.801531979043213,0.001
72,72,8272278.0,8278822.0,5,4,20.3631277489727,0.4240234375,0,0,0.4240234375,9.500930737789202,0.001
72,72,9404662.0,9381524.0,2,2,32.110012327450185,0.4240234375,0,0,0.4240234375,16.396544541931423,0.001
72,72,6338114.0,6362004.0,2,2,16.390928221042742,0.4240234375,0,0,0.4240234375,3.5564045848497363,0.001
72,72,6123208.0,6122128.0,2,2,13.994162748959178,0.4240234375,0,0,0.4240234375,2.8776922061444594,0.001
72,72,0.0,0.0,2,2,0,0.4240234375,0,0,0.4240234375,0,0
72,72,6149976.0,6148968.0,2,2,15.662157935214045,0.4240234375,0,0,0.4240234375,3.261635979426623,0.001
72,72,6192056.0,6192276.0,6,3,12.954211628837532,0.45449218750000003,0,0,0.4240234375,2.6419432987100153,0.000
72,72,6238326.0,6239576.0,4,2,15.050159441615833,0.45449218750000003,0,0,0.45449218750000003,3.2173686189597013,0.000
72,72,7431240.0,7431560.0,2,2,23.489609595007437,0.45449218750000003,0,0,0.45449218750000003,7.443191884559289,0.000
72,72,7784934.0,7778610.0,2,2,32.58072278429751,0.45449218750000003,0,0,0.45449218750000003,9.664580334903256,0.000
72,72,6640280.0,6646402.0,8,5,22.52283172098774,0.45449218750000003,0,0,0.45449218750000003,5.764083434267797,0.001
72,72,0.0,0.0,8,5,0,0.45449218750000003,0,0,0.45449218750000003,0,0
