vvCountHistVlun,vvCountHistVlunPrevious,totalWriteIOsHistVlun,totalWriteIOsHistPortTargets,cpuLatestTotalMaxPct,cpuLatestTotalAvgPct,portTotalAvgIOSizeKB,ddsSizeUsedTiB,nodeCountOffline,nodeCountMissing,ddsSizeUsedTiBPrevious,portTotalBandwidthMBPS,totalsGt32msPct
345,345,2.88476292E8,2.88335624E8,24,10,60.46492368386764,55.7908203125,0,0,55.7908203125,1031.228996115234,0.001
345,345,3.5778257E8,3.57913928E8,20,8,35.68466813041928,55.7908203125,0,0,55.7908203125,745.5174017133243,0.001
345,345,2.47023056E8,2.47014154E8,8,5,38.68876565855554,55.7908203125,0,0,55.7908203125,710.4957204731913,0.000
345,345,2.3766239E8,2.37716838E8,27,9,43.963274091660075,55.7908203125,0,0,55.7908203125,666.2994952497855,0.002
345,345,2.20072374E8,2.20076212E8,7,4,98.87447177252453,55.7908203125,0,0,55.7908203125,1614.6735440497155,0.08
345,345,0.0,0.0,7,4,0,55.7908203125,0,0,55.7908203125,0,0
345,345,5.05421552E8,5.05365618E8,16,9,45.6002304406148,55.7908203125,0,0,55.7908203125,737.8972212310882,0.01
345,345,2.08518788E8,2.0857473E8,10,4,32.56395099194078,55.7908203125,0,0,55.7908203125,443.91000611269385,0.000
345,345,2.10042116E8,2.10031302E8,21,8,39.938767350327716,55.7908203125,0,0,55.7908203125,443.2552375999992,0.001
345,345,2.08548482E8,2.08516018E8,11,6,94.02481391867552,55.7908203125,0,0,55.7908203125,1147.2620331288117,0.001
345,345,0.0,0.0,11,6,0,55.7908203125,0,0,55.7908203125,0,0
345,345,2.09693852E8,2.09677012E8,22,11,65.67806919527031,55.7908203125,0,0,55.7908203125,834.1611683314134,0.06
345,345,3.00672302E8,3.00735238E8,5,3,56.0248571640773,55.7908203125,0,0,55.7908203125,1007.7789613592319,0.23
345,345,3.42782172E8,3.4277646E8,22,8,84.16198469188711,55.7908203125,0,0,55.7908203125,1261.4180296977327,1.1
