vvCountHistVlun,vvCountHistVlunPrevious,totalWriteIOsHistVlun,totalWriteIOsHistPortTargets,cpuLatestTotalMaxPct,cpuLatestTotalAvgPct,portTotalAvgIOSizeKB,ddsSizeUsedTiB,nodeCountOffline,nodeCountMissing,ddsSizeUsedTiBPrevious,portTotalBandwidthMBPS,totalsGt32msPct
42,42,0.0,0.0,3,3,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,4.5294064E7,4.5293026E7,43,38,83.97316055994457,6.11358642578125,0,0,6.11358642578125,72.22504293168262,0.003
42,42,0.0,0.0,43,38,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,4.5356338E7,4.535651E7,32,18,83.89152303339453,6.11358642578125,0,0,6.11358642578125,54.76017036390914,0.002
42,42,0.0,0.0,32,18,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,4.0243676E7,4.024511E7,15,8,77.08619207284639,6.11358642578125,0,0,6.11358642578125,92.07393050242081,0.001
42,42,0.0,0.0,15,8,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,3.7492576E7,3.7492142E7,8,5,72.31602887155427,6.11358642578125,0,0,6.11358642578125,36.11730534177161,0.002
42,42,0.0,0.0,8,5,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,4.9238516E7,4.9238624E7,29,16,79.03066495199963,6.11358642578125,0,0,6.11358642578125,40.69862863159581,0.03
42,42,0.0,0.0,29,16,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,4.2399098E7,4.2398192E7,1,1,85.43631725183282,6.11358642578125,0,0,6.11358642578125,59.388554491070465,0.03
42,42,0.0,0.0,1,1,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,4.1696614E7,4.1690714E7,5,3,87.81754284761702,6.11358642578125,0,0,6.11358642578125,52.83941349651176,0.01
42,42,0.0,0.0,5,3,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,0.0,0.0,5,3,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,5.038426E7,5.0389704E7,3,2,78.63523695405681,6.11358642578125,0,0,6.11358642578125,44.27643047853727,0.001
42,42,0.0,0.0,3,2,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,3.8322558E7,3.8324492E7,3,2,91.81640092083742,6.11358642578125,0,0,6.11358642578125,53.451575083622004,0.002
42,42,0.0,0.0,3,2,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,3.585785E7,3.5857766E7,1,1,77.79770548436177,6.11358642578125,0,0,6.11358642578125,90.34280381980686,0.001
42,42,0.0,0.0,1,1,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,3.8921824E7,3.892195E7,15,9,71.88326602860568,6.11358642578125,0,0,6.11358642578125,40.170686506349554,0.002
42,42,0.0,0.0,15,9,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,4.1727236E7,4.1727138E7,1,1,82.93182361027574,6.11358642578125,0,0,6.11358642578125,48.98177876419808,0.01
42,42,0.0,0.0,1,1,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,5.2458114E7,5.2457808E7,13,8,74.26899880870441,6.11358642578125,0,0,6.11358642578125,41.652489447183484,0.02
42,42,0.0,0.0,13,8,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,4.251681E7,4.2515294E7,9,6,85.99330973119154,6.11358642578125,0,0,6.11358642578125,69.97742637494576,0.01
42,42,0.0,0.0,9,6,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,4.1193664E7,4.1194624E7,15,9,84.97605335435058,6.11358642578125,0,0,6.11358642578125,46.14416230685508,0.02
42,42,0.0,0.0,15,9,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,4.064957E7,4.0650286E7,1,1,81.9129324808725,6.11358642578125,0,0,6.11358642578125,43.92039989919485,0.002
42,42,0.0,0.0,1,1,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,4.3921862E7,4.3917358E7,22,13,77.68195893144997,6.11358642578125,0,0,6.11358642578125,78.73925474942074,0.000
42,42,0.0,0.0,22,13,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,3.6491844E7,3.6496648E7,1,1,78.64563356108437,6.11358642578125,0,0,6.11358642578125,65.30270657059613,0.001
42,42,0.0,0.0,1,1,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,4.0647214E7,4.0645424E7,8,5,75.48150672813097,6.11358642578125,0,0,6.11358642578125,49.71826699870835,0.001
42,42,0.0,0.0,8,5,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,4.0335868E7,4.0337186E7,26,15,85.63558254481538,6.11358642578125,0,0,6.11358642578125,70.27450031639032,0.001
42,42,0.0,0.0,26,15,0,6.11358642578125,0,0,6.11358642578125,0,0
45,42,4.1414724E7,6.671826E7,1,1,91.21767647488052,6.11358642578125,0,0,6.11358642578125,30.228700627487353,1.3
45,45,0.0,0.0,1,1,0,6.11358642578125,0,0,6.11358642578125,0,0
45,45,6738512.0,6738784.0,1,1,114.52208626448986,6.11358642578125,0,0,6.11358642578125,120.89829848865215,0.001
45,45,0.0,0.0,1,1,0,6.11358642578125,0,0,6.11358642578125,0,0
42,45,3.6815644E7,3.6851658E7,2,2,79.59197769712539,6.11358642578125,0,0,6.11358642578125,72.11083796957747,0.02
42,42,0.0,0.0,2,2,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,3.4509518E7,3.4507968E7,5,3,80.16089063589088,6.11358642578125,0,0,6.11358642578125,70.9818725835115,0.002
42,42,0.0,0.0,5,3,0,6.11358642578125,0,0,6.11358642578125,0,0
42,42,3.621936E7,3.6220004E7,7,4,85.28078798302232,6.11358642578125,0,0,6.11358642578125,51.17044447542441,0.001
