vvCountHistVlun,vvCountHistVlunPrevious,totalWriteIOsHistVlun,totalWriteIOsHistPortTargets,cpuLatestTotalMaxPct,cpuLatestTotalAvgPct,portTotalAvgIOSizeKB,ddsSizeUsedTiB,nodeCountOffline,nodeCountMissing,ddsSizeUsedTiBPrevious,portTotalBandwidthMBPS,totalsGt32msPct
150,150,1.65204028E8,1.65182802E8,22,8,85.13420009639226,0,0,0,0,1610.8563955156487,0.05
150,150,2.04366246E8,2.04309922E8,14,6,111.24991100447924,0,0,0,0,1441.5384390343231,0.05
150,150,2.49638698E8,2.4965193E8,13,6,105.38875643768796,0,0,0,0,1444.760373680657,0.04
150,150,2.10702896E8,2.10757006E8,19,7,109.82069947745963,0,0,0,0,1359.0180581195216,0.04
150,150,1.64157692E8,1.64171326E8,19,8,122.84986884529513,0,0,0,0,1272.4373553898802,0.04
150,150,0.0,0.0,19,8,0,0,0,0,0,0,0
150,150,1.72732324E8,1.72685396E8,12,6,76.59253999314643,0,0,0,0,1608.8693634153512,0.08
150,150,1.74398346E8,1.74435382E8,12,5,110.42158406683461,0,0,0,0,1567.2784218066365,0.10
150,150,1.71225626E8,1.71216874E8,21,7,115.62578079660719,0,0,0,0,1354.70315591269,0.06
150,150,1.60147714E8,1.6015257E8,4,3,111.69810327954893,0,0,0,0,1258.4499946222663,0.05
150,150,1.5694757E8,1.56936648E8,12,6,89.8236611426881,0,0,0,0,1273.76824353309,0.03
150,150,0.0,0.0,12,6,0,0,0,0,0,0,0
150,150,1.68811256E8,1.68823622E8,20,8,78.52118091288136,0,0,0,0,1504.6989769454347,0.07
150,150,1.64316238E8,1.64326012E8,13,5,103.09582284192149,0,0,0,0,1488.7231167736315,0.08
150,150,1.47393248E8,1.4740672E8,11,5,128.99106885419405,0,0,0,0,1213.8808494663479,0.03
150,150,1.48579228E8,1.48571804E8,23,8,127.9941504645521,0,0,0,0,1228.210123311646,0.03
150,150,1.5295277E8,1.52917014E8,20,7,127.70926932439953,0,0,0,0,1248.300185990315,0.03
150,150,0.0,0.0,20,7,0,0,0,0,0,0,0
150,150,1.59971368E8,1.59995676E8,13,7,122.79795719854374,0,0,0,0,1422.0114661513487,0.05
150,150,1.69610384E8,1.69581014E8,13,6,115.99542255277181,0,0,0,0,1536.9736385714075,0.18
150,150,2.57115772E8,2.57041102E8,22,8,103.64877595780261,0,0,0,0,1457.132865355006,0.05
150,150,2.66151948E8,2.66130486E8,14,6,105.11192382854762,0,0,0,0,1479.1836513714402,0.05
150,150,1.95432736E8,1.9555643E8,11,5,115.50967596876666,0,0,0,0,1357.598906566622,0.04
150,150,0.0,0.0,11,5,0,0,0,0,0,0,0
150,150,1.60792606E8,1.60796106E8,20,7,112.08056920741616,0,0,0,0,1269.6815757588197,0.03
150,150,1.73161856E8,1.7314486E8,21,8,113.81676443288046,0,0,0,0,1574.4703011498668,0.07
150,150,2.47399182E8,2.47312688E8,13,6,104.91289451999585,0,0,0,0,1453.31763041405,0.04
150,150,2.68825818E8,2.68860762E8,13,7,101.8663057587209,0,0,0,0,1448.0196220261755,0.05
150,150,2.26296166E8,2.26327688E8,21,8,107.8946140165624,0,0,0,0,1382.080668046331,0.12
150,150,0.0,0.0,21,8,0,0,0,0,0,0,0
150,150,1.88721914E8,1.88740504E8,12,5,111.00772167128666,0,0,0,0,1320.239127521379,0.12
150,150,1.81557548E8,1.81551832E8,13,6,100.33790381609049,0,0,0,0,1622.6136960911108,0.07
150,150,2.4099759E8,2.40912652E8,21,8,105.4113812790177,0,0,0,0,1448.7756731809736,0.10
150,150,2.86143762E8,2.86156496E8,16,10,100.33541224749581,0,0,0,0,1550.9243770290352,0.04
