vvCountHistVlun,vvCountHistVlunPrevious,totalWriteIOsHistVlun,totalWriteIOsHistPortTargets,cpuLatestTotalMaxPct,cpuLatestTotalAvgPct,portTotalAvgIOSizeKB,ddsSizeUsedTiB,nodeCountOffline,nodeCountMissing,ddsSizeUsedTiBPrevious,portTotalBandwidthMBPS,totalsGt32msPct
15,15,6818064.0,6817770.0,1,1,18.46934242076394,0,0,0,0,81.49852603940899,0.000
15,15,1.7218266E7,1.7205964E7,1,1,22.189532287449506,0,0,0,0,31.050568987721107,0.000
15,15,2.655067E7,2.6562628E7,1,1,22.21463156037391,0,0,0,0,71.6726442350195,0.000
15,15,1.2421856E7,1.241354E7,3,2,24.92316650237209,0,0,0,0,45.69949336327246,0.02
15,15,2.6369096E7,2.637749E7,2,1,18.82040237814714,0,0,0,0,88.23762128735163,0.001
15,15,0.0,0.0,2,1,0,0,0,0,0,0,0
15,15,1.8352552E7,1.8352576E7,0,0,20.063428245657704,0,0,0,0,99.40883415506698,0.001
15,15,4509186.0,4502614.0,0,0,18.904922571451863,0,0,0,0,32.38081825861148,0
15,15,3939568.0,3942236.0,1,0,4.747143165232029,0,0,0,0,4.065410801172184,0
15,15,3653464.0,3657338.0,1,0,11.296011646119787,0,0,0,0,9.010174898678002,0.002
15,15,3358958.0,3359490.0,2,2,31.422498162749285,0,0,0,0,61.13249442146766,0.01
15,15,0.0,0.0,2,2,0,0,0,0,0,0,0
15,15,4670646.0,4670642.0,0,0,14.164635020657405,0,0,0,0,36.44187251626237,0.000
15,15,4415220.0,4413646.0,0,0,12.895260317425768,0,0,0,0,10.631615882049552,0.000
15,15,4339024.0,4338158.0,0,0,5.133971671917521,0,0,0,0,4.290228201591972,0
15,15,7774536.0,7769694.0,0,0,11.367674008166201,0,0,0,0,18.826978876896675,0.000
15,15,1.7984124E7,1.7991482E7,1,1,28.221717059982165,0,0,0,0,85.04035739097677,0.005
15,15,0.0,0.0,1,1,0,0,0,0,0,0,0
15,15,2.9945064E7,2.9945044E7,1,1,13.309287476729496,0,0,0,0,72.19117823688553,0.000
15,15,3974074.0,3973610.0,0,0,17.515399915193306,0,0,0,0,66.5958176404249,0.000
18,15,4428386.0,4427024.0,1,0,6.4756056673538405,0,0,0,0,7.904793105933355,0.000
18,18,4178210.0,4177016.0,0,0,5.381942494475357,0,0,0,0,6.536458910228259,0
18,18,1.2153236E7,1.2154882E7,1,1,30.62499771488863,0,0,0,0,67.1256497589518,0.01
18,18,3.1092552E7,3.1093816E7,5,4,21.615487562709248,0,0,0,0,99.93482454700381,0.001
18,18,0.0,0.0,5,4,0,0,0,0,0,0,0
18,18,1.7140794E7,1.714042E7,2,2,22.6829412987309,0,0,0,0,119.82411792350148,0.000
18,18,6138960.0,6138108.0,2,1,6.492555977896864,0,0,0,0,7.390139182881514,0.000
